"","X","name","country","exile.starts","exile.ends","PoliticalUpheaval.","Destination1","Destination2","Destination3","Return.","origin_religion","d1_religion","last_destination","d_final_religion","origin_region","d1_region","d_final_region","origin_language","d_final_language","origin_PolV","d1_PolV","d_final_PolV"
"204",92,"Valentine Strasser","Sierra Leone",1996,"2000","coup","Guinea","United Kingdom",,"","Muslims","Muslims","United Kingdom","Christians","Sub-Saharan Africa","Sub-Saharan Africa","Europe","English","English",4,-1,10
"205",169,"Vicente Mej´ıa Colindres","Honduras",1933,"1949","other","Costa Rica",,,"No","Christians","Christians","Costa Rica","Christians","Latin America-Caribbean","Latin America-Caribbean","Latin America-Caribbean","Spanish","Spanish",5,5,5
"206",42,"Yakubu Gowon","Nigeria",1975,"1983","coup","United Kingdom",,,"","Muslims","Christians","United Kingdom","Christians","Sub-Saharan Africa","Europe","Europe","English","English",-7,10,10
"207",105,"Yanukovych","Ukraine",2014,"2020","popular uprising","Russia",,,"","Christians","Christians","Russia","Christians","Europe","Europe","Europe","Russian","Russian",4,4,4
"208",106,"Yingluck Shinawatra","Thailand",2017,"2020","coup","United Arab Emirates","United Kingdom",,"","Buddhists","Muslims","United Kingdom","Christians","Asia-Pacific","Middle East-North Africa","Europe","English","English",-3,-8,8
"209",99,"Yumjaagiin Tsedenbal","Mongolia",1984,"1991","other","Russia",,,"","Buddhists","Christians","Russia","Christians","Asia-Pacific","Europe","Europe","Russian","Russian",-7,-7,-7
"210",216,"Yusuf Lule","Uganda",1979,"1985","other","Tanzania","United Kingdom",,"No","Christians","Christians","United Kingdom","Christians","Sub-Saharan Africa","Sub-Saharan Africa","Europe","English","English",-7,-6,10
"211",108,"Zine Al-Abidine Ben Ali","Tunisia",2011,"2019","popular uprising","Saudi Arabia",,,"","Muslims","Muslims","Saudi Arabia","Muslims","Middle East-North Africa","Middle East-North Africa","Middle East-North Africa","Arabic","Arabic",4,-10,-10
"212",37,"Zviad Gamsakhurdia","Georgia",1992,"1993","rebellion","Russia",,,"","Christians","Christians","Russia","Christians","Europe","Europe","Europe","Geogian","Russian",0,5,5
"213",215,"Mamerto Urriolagoitia","Bolivia",1951,"1960","other","Chile",,,"Yes civil","Christians","Christians","Chile","Christians","Latin America-Caribbean","Latin America-Caribbean","Latin America-Caribbean","Spanish","Spanish",-5,2,2
"214",216,"Antonio Thrasybule Kebreau","Haiti",1957,"1958","other","Dominican Republic",,,"Yes civil","Christians","Christians","Dominican Republic","Christians","Latin America-Caribbean","Latin America-Caribbean","Latin America-Caribbean","French","Spanish",4,-9,-9
