"","X","name","country","exile.starts","exile.ends","PoliticalUpheaval.","Destination1","Destination2","Destination3","Return.","origin_religion","d1_religion","last_destination","d_final_religion","origin_region","d1_region","d_final_region","origin_language","d_final_language","origin_PolV","d1_PolV","d_final_PolV"
"111",220,"Juan Negr´ın","Spain",1939,"1956","rebellion","France","United Kingdom","Mexico","No","Christians","Christians","Mexico","Christians","Europe","Europe","Latin America-Caribbean","Spanish","Spanish",-7,10,-6
"112",212,"Juan Sacasa","Nicaragua",1936,"1946","coup","United States",,,"No","Christians","Christians","United States","Christians","Latin America-Caribbean","North America","North America","Spanish","English",-8,9,9
"113",215,"Julio Lozano D´ıaz","Honduras",1956,"1957","coup","United States",,,"Yes, politician but non president","Christians","Christians","United States","Christians","Latin America-Caribbean","North America","North America","Spanish","English",-1,9,9
"114",52,"Khalifah Ath-Thani","Qatar",1995,"2004","other","France",,,"","Muslims","Christians","France","Christians","Middle East-North Africa","Europe","Europe","Arabic","French",-10,10,10
"115",23,"Kofi Abrefa Busia","Ghana",1972,"1978","coup","United Kingdom",,,"","Christians","Christians","United Kingdom","Christians","Sub-Saharan Africa","Europe","Europe","English","English",-7,10,10
"116",185,"Kong Le","Laos",1966,"2010","coup","Indonesia","United States","France","No","Buddhists","Muslims","France","Christians","Asia-Pacific","Asia-Pacific","Europe","French","French",0,-6,7
"117",181,"Konstantinos Karamanlis","Greece",1963,"1974","other","France",,,"Yes, president","Christians","Christians","France","Christians","Europe","Europe","Europe","Greek","French",4,4,4
"118",182,"Konstantinos Kollias","Greece",1967,"1974","coup","Italy",,,"No","Christians","Christians","Italy","Christians","Europe","Europe","Europe","Greek","Italian",-7,10,10
"119",54,"Koroma","Sierra Leone",1998,"2003","other","Liberia",,,"","Muslims","Christians","Liberia","Christians","Sub-Saharan Africa","Sub-Saharan Africa","Sub-Saharan Africa","English","English",0,0,0
"120",15,"Kurmanbek Bakiev","Kyrgyzstan",2010,"2010","popular uprising","Kazakhstan","Belarus",,"","Muslims","Muslims","Belarus","Christians","Asia-Pacific","Asia-Pacific","Europe","Russian","Belorussian",4,-6,-7
"121",179,"Kwame Nkrumah","Ghana",1966,"1972","coup","Guinea",,,"No","Christians","Muslims","Guinea","Muslims","Sub-Saharan Africa","Sub-Saharan Africa","Sub-Saharan Africa","English","French",-4,-9,-9
"122",172,"L´eon Cantave","Haiti",1957,"1967","other","United States",,,"No","Christians","Christians","United States","Christians","Latin America-Caribbean","North America","North America","French","English",4,9,9
"123",155,"Laureano G´omez","Colombia",1953,"1957","coup","Spain",,,"Yes, president","Christians","Christians","Spain","Christians","Latin America-Caribbean","Europe","Europe","Spanish","Spanish",-5,-7,-7
"124",200,"Leonardo Arguello","Nicaragua",1947,"1947","coup","Mexico",,,"No","Christians","Christians","Mexico","Christians","Latin America-Caribbean","Latin America-Caribbean","Latin America-Caribbean","Spanish","Spanish",-8,-6,-6
"125",62,"Leslie Manigat","Haiti",1988,"1989","coup","Dominican Republic",,,"","Christians","Christians","Dominican Republic","Christians","Latin America-Caribbean","Latin America-Caribbean","Latin America-Caribbean","French","Spanish",0,5,5
"126",194,"Li Tsung-jen","Taiwan",1950,"1969","other","United States",,,"Yes civil","Other_religions","Christians","United States","Christians","Asia-Pacific","North America","North America","Mandarin","English",-8,9,9
"127",55,"Lidia Guelier","Bolivia",1980,"1982","other","France",,,"","Christians","Christians","France","Christians","Latin America-Caribbean","Europe","Europe","Spanish","French",-7,9,9
"128",56,"Lissouba","Congo",1997,"2020","rebellion","Burkina Faso","France",,"","Christians","Muslims","France","Christians","Sub-Saharan Africa","Sub-Saharan Africa","Europe","French","French",-6,-5,10
"129",57,"Lon Nol","Cambodia",1975,"1985","rebellion","United States",,,"","Buddhists","Christians","United States","Christians","Asia-Pacific","North America","North America","Khmer","English",0,10,10
"130",122,"Luis A. Siles Salinas","Bolivia",1969,"1978","coup","Chile",,,"Yes, politician but non president","Christians","Christians","Chile","Christians","Latin America-Caribbean","Latin America-Caribbean","Latin America-Caribbean","Spanish","Spanish",-4,6,6
"131",38,"Luis Garc´ıa Meza","Bolivia",1983,"1995","coup","Argentina",,,"","Christians","Christians","Argentina","Christians","Latin America-Caribbean","Latin America-Caribbean","Latin America-Caribbean","Spanish","Spanish",7,8,8
"132",147,"M´aty´as R´akosi","Hungary",1956,"1971","popular uprising","Russia",,,"No","Christians","Christians","Russia","Christians","Europe","Europe","Europe","Hungarian","Russian",-7,-7,-7
"133",60,"Makarios","Cyprus",1974,"1974","coup","United Kingdom",,,"","Christians","Christians","United Kingdom","Christians","Asia-Pacific","Europe","Europe","Greek","English",8,10,10
"134",146,"Manuel Odr´ıa","Peru",1956,"1961","other","United States","Argentina",,"Yes civil","Christians","Christians","Argentina","Christians","Latin America-Caribbean","North America","Latin America-Caribbean","Spanish","Spanish",5,9,-2
"135",107,"Manuel Zelaya","Honduras",2009,"2010","coup","Costa Rica","Brazil","Dominican Republic","","Christians","Christians","Dominican Republic","Christians","Latin America-Caribbean","Latin America-Caribbean","Latin America-Caribbean","Spanish","Spanish",7,10,8
"136",63,"Marc Ravalomanana","Madagascar",2009,"2010","coup","South Africa",,,"","Christians","Christians","South Africa","Christians","Sub-Saharan Africa","Sub-Saharan Africa","Sub-Saharan Africa","French","English",0,9,9
"137",25,"Marcelo Caetano","Portugal",1974,"1980","coup","Brazil",,,"","Christians","Christians","Brazil","Christians","Europe","Latin America-Caribbean","Latin America-Caribbean","Portuguese","Portuguese",-3,-4,-4
"138",139,"Marco Aurelio Robles","Panama",1968,"1990","coup","United States","Guatemala",,"No","Christians","Christians","Guatemala","Christians","Latin America-Caribbean","North America","Latin America-Caribbean","Spanish","Spanish",-7,8,3
"139",199,"Marcos P´erez Jim´enez","Venezuela",1958,"1963","coup","United States",,,"No","Christians","Christians","United States","Christians","Latin America-Caribbean","North America","North America","Spanish","English",6,9,9
"140",142,"Maximiliano Hern´andez Mart´ınez","El Salvador",1944,"1966","popular uprising","Guatemala","Honduras",,"No","Christians","Christians","Honduras","Christians","Latin America-Caribbean","Latin America-Caribbean","Latin America-Caribbean","Spanish","Spanish",-8,5,-3
"141",65,"Mengistu Haile Mariam","Ethiopia",1991,"2010","rebellion","Zimbabwe",,,"","Christians","Christians","Zimbabwe","Christians","Sub-Saharan Africa","Sub-Saharan Africa","Sub-Saharan Africa","Amharic","English",1,-6,-6
"142",210,"Michael I","Romania",1947,"2010","other","Switzerland","United Kingdom",,"Yes civil","Christians","Christians","United Kingdom","Christians","Europe","Europe","Europe","Romanian","English",-7,10,10
"143",9,"Michel Aoun","Lebanon",1990,"2005","rebellion","France",,,"","Muslims","Christians","France","Christians","Middle East-North Africa","Europe","Europe","Arabic","French",0,10,10
"144",66,"Michel Micombero","Burundi",1976,"1983","coup","Somalia",,,"","Christians","Muslims","Somalia","Muslims","Sub-Saharan Africa","Sub-Saharan Africa","Sub-Saharan Africa","French","Arabic",-7,-7,-7
"145",163,"Miguel Yd´ıgoras Fuentes","Guatemala",1963,"1972","coup","Panama","El Salvador","United States","","Christians","Christians","United States","Christians","Latin America-Caribbean","Latin America-Caribbean","North America","Spanish","English",-5,4,9
"146",75,"Milton Obote (1)","Uganda",1971,"1980","coup","Tanzania","Zambia",,"Yes, president","Christians","Christians","Zambia","Christians","Sub-Saharan Africa","Sub-Saharan Africa","Sub-Saharan Africa","English","English",-7,-6,0
"147",76,"Milton Obote (2)","Uganda",1985,"2005","coup","Tanzania","Zambia",,"Yes civil","Christians","Christians","Zambia","Christians","Sub-Saharan Africa","Sub-Saharan Africa","Sub-Saharan Africa","English","English",0,-6,-9
"148",67,"Mobutu Sese Seko","Congo",1997,"1997","rebellion","Morocco",,,"","Christians","Muslims","Morocco","Muslims","Sub-Saharan Africa","Middle East-North Africa","Middle East-North Africa","French","Arabic",-6,-7,-7
"149",112,"Mohammad Najibullah","Afghanistan",1992,"1996","coup","Russia",,,"Yes, politician but non president","Muslims","Christians","Russia","Christians","Asia-Pacific","Europe","Europe","Persian","Russian",0,5,5
"150",68,"Mohammad Reza Pahlavi (1)","Iran",1953,"1953","popular uprising","Egypt","Morocco","Mexico","","Muslims","Muslims","Mexico","Christians","Asia-Pacific","Middle East-North Africa","Latin America-Caribbean","Persian","Spanish",-10,-7,-6
"151",69,"Mohammad Reza Pahlavi (2)","Iran",1979,"1980","popular uprising","Egypt","Morocco","Mexico","","Muslims","Muslims","Mexico","Christians","Asia-Pacific","Middle East-North Africa","Latin America-Caribbean","Persian","Spanish",-6,-6,-3
"152",196,"Mohan Shumsher Jang Bahadur Rana","Nepal",1951,"1967","popular uprising","India",,,"No","Hindus","Hindus","India","Hindus","Asia-Pacific","Asia-Pacific","Asia-Pacific","English","Hindi",-7,5,5
"153",130,"Molina Ure˜na","Dominican Republic",1965,"1966","coup","Puerto Rico",,,"Yes, politician but non president","Christians","Christians","Puerto Rico","Christians","Latin America-Caribbean","Latin America-Caribbean","Latin America-Caribbean","Spanish",,0,,
"154",205,"Muhammad Ahmad Mahgoub","Sudan",1969,"1976","coup","United Kingdom",,,"No","Muslims","Christians","United Kingdom","Christians","Middle East-North Africa","Europe","Europe","Arabic","English",-6,10,10
"155",137,"Mwambutsa IV","Burundi",1966,"1977","Coup","Switzerland",,,"No","Christians","Christians","Switzerland","Christians","Sub-Saharan Africa","Europe","Europe","French","German",-7,10,10
"156",73,"Natusch Busch","Bolivia",1981,"1981","other","Argentina",,,"","Christians","Christians","Argentina","Christians","Latin America-Caribbean","Latin America-Caribbean","Latin America-Caribbean","Spanish","Spanish",-7,-8,-8
"157",127,"Nguyen Kh´anh","Vietnam",1965,"1975","coup","France","United States",,"No","Buddhists","Christians","United States","Christians","Asia-Pacific","Europe","North America","Vietnamese","English",-8,7,9
"158",100,"Nguyen Van Thieu","Vietnam",1975,"1975","other","Taiwan","United Kingdom","United States","","Buddhists","Other_religions","United States","Christians","Asia-Pacific","Asia-Pacific","North America","Vietnamese","English",-7,-7,10
"159",149,"Nicolas Grunitzky","Togo",1967,"1969","coup","Ivory Coast","France",,"No","Christians","Muslims","France","Christians","Sub-Saharan Africa","Sub-Saharan Africa","Europe","French","French",-7,-9,7
"160",82,"Norodom Ranariddh","Cambodia",1997,"1998","other","France","Thailand",,"","Buddhists","Christians","Thailand","Buddhists","Asia-Pacific","Europe","Asia-Pacific","Khmer","English",-7,10,9
"161",90,"Norodom Sihanouk","Cambodia",1970,"1975","coup","China",,,"","Buddhists","Buddhists","China","Buddhists","Asia-Pacific","Asia-Pacific","Asia-Pacific","Khmer","Mandarin",-8,-8,-8
